iter	Passed	Remaining
179	301	1371
180	301	1365
181	302	1358
182	303	1352
183	304	1348
184	304	1342
185	305	1336
186	306	1331
187	307	1326
188	307	1321
189	308	1316
190	309	1311
191	310	1306
192	311	1301
193	312	1296
194	312	1291
195	313	1287
196	314	1282
197	315	1276
198	315	1270
199	316	1265
200	316	1259
201	317	1254
202	318	1249
203	319	1245
204	319	1240
205	320	1236
206	321	1232
207	322	1227
208	323	1222
209	324	1219
210	324	1215
211	325	1210
212	326	1205
213	327	1201
214	327	1196
215	328	1191
216	328	1186
217	329	1182
218	330	1177
219	330	1172
220	331	1167
221	331	1162
222	332	1158
223	333	1154
224	334	1151
225	335	1148
226	336	1147
227	337	1143
228	338	1140
229	339	1137
230	340	1134
231	341	1131
232	342	1126
233	342	1122
234	343	1118
235	344	1114
236	344	1110
237	345	1105
238	345	1101
239	346	1097
240	347	1092
241	347	1089
242	348	1086
243	349	1083
244	350	1079
245	351	1076
246	351	1072
247	352	1068
248	353	1065
249	353	1061
250	354	1058
251	355	1055
252	356	1052
253	357	1048
254	357	1045
255	358	1041
256	359	1038
257	360	1035
258	360	1032
259	361	1028
260	362	1025
261	363	1022
262	364	1020
263	364	1017
264	365	1014
265	366	1011
266	367	1007
267	367	1004
268	368	1001
269	369	999
270	370	996
271	371	992
272	371	989
273	372	986
274	373	983
275	373	980
276	374	976
277	374	973
278	375	970
279	375	966
280	376	963
281	377	960
282	378	957
283	378	955
284	379	953
285	380	950
286	381	948
287	382	945
288	383	943
289	384	941
290	385	939
291	386	936
292	386	933
293	387	931
294	388	928
295	388	925
296	389	922
297	390	919
298	390	916
299	391	913
300	392	911
301	393	908
302	394	906
303	394	903
304	395	901
305	396	898
306	397	896
307	397	893
308	398	891
309	399	889
310	400	886
311	400	884
312	401	881
313	402	879
314	403	876
315	403	874
316	404	871
317	404	868
318	405	865
319	406	863
320	406	860
321	407	858
322	408	856
323	409	853
324	410	851
325	410	849
326	411	846
327	412	844
328	412	841
329	413	839
330	414	837
331	415	835
332	415	833
333	416	830
334	417	828
335	418	826
336	419	824
337	419	822
338	420	820
339	421	818
340	422	817
341	423	815
342	424	813
343	425	812
344	426	810
345	427	808
346	428	806
347	429	804
348	430	803
349	431	801
350	432	799
351	433	798
352	434	795
353	434	793
354	435	791
355	436	789
356	437	788
357	438	786
358	439	785
359	440	783
360	441	781
361	442	780
362	444	779
363	444	777
364	445	775
365	446	773
366	447	772
367	448	770
368	449	768
369	450	767
370	451	765
371	452	763
372	453	762
373	454	760
374	456	760
375	457	758
376	458	757
377	459	755
378	460	754
379	461	752
380	462	750
381	462	748
382	463	746
383	464	744
384	464	742
385	465	740
386	466	738
387	467	736
388	467	734
389	468	732
390	469	731
391	470	729
392	471	727
393	471	725
394	472	724
395	473	722
396	474	721
397	475	719
398	476	717
399	476	715
400	477	713
401	478	711
402	478	709
403	479	707
404	479	705
405	480	703
406	481	701
407	482	699
408	483	698
409	483	696
410	484	694
411	485	692
412	486	690
413	486	689
414	487	687
415	488	685
416	489	683
417	489	681
418	490	679
419	490	677
420	491	675
421	491	673
422	492	671
423	493	669
424	493	668
425	494	666
426	495	664
427	495	662
428	496	660
429	497	659
430	498	657
431	498	655
432	499	653
433	500	652
434	500	650
435	501	648
436	502	646
437	502	645
438	503	643
439	504	642
440	505	640
441	505	638
442	507	637
443	508	636
444	509	634
445	510	633
446	510	631
447	511	630
448	512	628
449	513	627
450	514	625
451	515	624
452	515	622
453	516	621
454	517	619
455	517	617
456	518	616
457	519	614
458	520	613
459	521	611
460	521	610
461	522	608
462	523	606
463	523	605
464	524	603
465	525	601
466	525	600
467	526	598
468	527	596
469	528	595
470	528	594
471	529	592
472	530	591
473	531	590
474	532	588
475	533	587
476	534	585
477	535	584
478	535	582
479	536	581
480	537	579
481	537	578
482	538	576
483	539	575
484	540	573
485	540	572
486	541	570
487	542	569
488	543	567
489	544	566
490	545	565
491	546	563
492	546	562
493	547	560
494	548	559
495	549	558
496	549	556
497	550	555
498	551	553
499	552	552
500	552	550
501	553	548
502	553	547
503	554	545
504	554	543
505	555	542
506	556	540
507	557	539
508	558	538
509	559	537
510	560	536
511	561	534
512	562	533
513	563	532
514	564	531
515	564	529
516	565	528
517	566	526
518	566	525
519	567	523
520	567	522
521	568	520
522	569	519
523	569	517
524	570	516
525	571	514
526	571	513
527	572	512
528	573	510
529	574	509
530	576	508
531	576	507
532	577	506
533	578	504
534	579	503
535	580	502
536	580	500
537	581	499
538	582	497
539	582	496
540	583	494
541	583	493
542	584	491
543	585	490
544	585	488
545	586	487
546	587	486
547	588	485
548	589	484
549	590	483
550	591	482
551	592	480
552	593	479
553	594	478
554	594	476
555	595	475
556	596	474
557	596	472
558	597	471
559	597	469
560	598	468
561	598	466
562	599	465
563	600	464
564	600	462
565	601	461
566	602	460
567	603	459
568	605	458
569	605	457
570	606	455
571	607	454
572	608	453
573	609	451
574	609	450
575	610	449
576	611	448
577	611	446
578	612	445
579	613	443
580	613	442
581	614	441
582	614	439
583	615	438
584	616	437
585	616	435
586	617	434
587	619	433
588	619	432
589	620	431
590	621	430
591	622	428
592	623	427
593	624	426
594	625	425
595	625	424
596	626	422
597	626	421
598	627	420
599	628	418
600	628	417
601	629	416
602	629	414
603	630	413
604	631	412
605	632	411
606	633	410
607	634	409
608	635	407
609	636	406
610	636	405
611	637	404
612	638	403
613	639	401
614	639	400
615	640	399
616	641	397
617	641	396
618	642	395
619	643	394
620	643	392
621	644	391
622	644	390
623	645	389
624	646	387
625	647	386
626	648	385
627	649	384
628	650	383
629	651	382
630	652	381
631	653	380
632	653	379
633	654	377
634	655	376
635	655	375
636	656	374
637	656	372
638	657	371
639	658	370
640	658	368
641	659	367
642	659	366
643	660	365
644	661	364
645	662	363
646	664	362
647	664	361
648	665	360
649	666	359
650	667	358
651	668	356
652	669	355
653	670	354
654	670	353
655	671	351
656	671	350
657	672	349
658	673	348
659	673	347
660	674	345
661	674	344
662	675	343
663	676	342
664	677	341
665	678	340
666	679	339
667	680	338
668	681	337
669	682	335
670	682	334
671	683	333
672	683	332
673	684	331
674	685	329
675	686	328
676	686	327
677	687	326
678	687	325
679	688	323
680	688	322
681	689	321
682	690	320
683	691	319
684	692	318
685	693	317
686	694	316
687	694	315
688	695	314
689	696	312
690	697	311
691	698	310
692	698	309
693	699	308
694	699	307
695	700	305
696	701	304
697	701	303
698	702	302
699	702	301
700	703	300
701	704	298
702	704	297
703	705	296
704	706	295
705	707	294
706	708	293
707	709	292
708	710	291
709	711	290
710	712	289
711	712	288
712	713	287
713	713	285
714	714	284
715	715	283
716	715	282
717	716	281
718	717	280
719	717	279
720	718	277
721	718	276
722	719	275
723	720	274
724	721	273
725	722	272
726	723	271
727	724	270
728	725	269
729	726	268
730	727	267
731	727	266
732	728	265
733	729	264
734	729	263
735	730	261
736	730	260
737	731	259
738	731	258
739	732	257
740	732	256
741	733	255
742	734	253
743	735	253
744	736	252
745	737	251
746	738	250
747	739	249
748	741	248
749	741	247
750	742	246
751	743	245
752	744	244
753	744	242
754	745	241
755	745	240
756	746	239
757	747	238
758	747	237
759	748	236
760	748	235
761	749	234
762	750	233
763	751	232
764	752	231
765	753	230
766	754	229
767	755	228
768	756	227
769	756	226
770	757	224
771	758	223
772	758	222
773	759	221
774	759	220
775	760	219
776	760	218
777	761	217
778	762	216
779	762	215
780	763	214
781	764	213
782	765	212
783	766	211
784	767	210
785	768	209
786	769	208
787	769	207
788	770	206
789	771	205
790	772	204
791	772	202
792	773	201
793	774	200
794	774	199
795	775	198
796	775	197
797	776	196
798	777	195
799	777	194
800	778	193
801	778	192
802	779	191
803	780	190
804	781	189
805	782	188
806	783	187
807	784	186
808	784	185
809	785	184
810	785	183
811	786	182
812	787	181
813	787	179
814	788	178
815	788	177
816	789	176
817	789	175
818	790	174
819	791	173
820	791	172
821	792	171
822	792	170
823	793	169
824	794	168
825	795	167
826	795	166
827	796	165
828	797	164
829	798	163
830	799	162
831	800	161
832	801	160
833	801	159
834	802	158
835	802	157
836	803	156
837	804	155
838	804	154
839	805	153
840	806	152
841	806	151
842	807	150
843	808	149
844	808	148
845	809	147
846	810	146
847	811	145
848	812	144
849	813	143
850	813	142
851	814	141
852	815	140
853	815	139
854	816	138
855	817	137
856	818	136
857	818	135
858	819	134
859	819	133
860	820	132
861	821	131
862	821	130
863	822	129
864	822	128
865	823	127
866	824	126
867	824	125
868	825	124
869	826	123
870	827	122
871	828	121
872	829	120
873	830	119
874	831	118
875	831	117
876	832	116
877	832	115
878	833	114
879	834	113
880	834	112
881	835	111
882	836	110
883	836	109
884	837	108
885	837	107
886	838	106
887	839	105
888	839	104
889	840	103
890	841	102
891	842	102
892	843	101
893	844	100
894	844	99
895	845	98
896	846	97
897	847	96
898	847	95
899	848	94
900	849	93
901	849	92
902	850	91
903	850	90
904	851	89
905	851	88
906	852	87
907	853	86
908	853	85
909	854	84
910	855	83
911	856	82
912	857	81
913	857	80
914	858	79
915	859	78
916	859	77
917	860	76
918	860	75
919	861	74
920	862	73
921	863	73
922	863	72
923	864	71
924	865	70
925	865	69
926	866	68
927	866	67
928	867	66
929	868	65
930	868	64
931	869	63
932	870	62
933	870	61
934	871	60
935	872	59
936	872	58
937	873	57
938	873	56
939	874	55
940	875	54
941	875	53
942	876	52
943	876	52
944	877	51
945	878	50
946	878	49
947	879	48
948	879	47
949	880	46
950	880	45
951	881	44
952	882	43
953	882	42
954	883	41
955	883	40
956	884	39
957	885	38
958	885	37
959	886	36
960	887	36
961	888	35
962	888	34
963	889	33
964	889	32
965	890	31
966	891	30
967	891	29
968	892	28
969	892	27
970	893	26
971	894	25
972	894	24
973	895	23
974	895	22
975	896	22
976	896	21
977	897	20
978	897	19
979	898	18
980	899	17
981	899	16
982	900	15
983	901	14
984	902	13
985	902	12
986	903	11
987	903	10
988	904	10
989	905	9
990	905	8
991	906	7
992	906	6
993	907	5
994	907	4
995	908	3
996	909	2
997	909	1
998	910	0
999	910	0
